dataset_index,compound_id,smiles,smiles_r,true_anchor_l,true_anchor_r
2417,2445,CCCCCNC(=O)CCCCCOC1=CC=C(CC)C=C1,[R1]CCC1=CC=C(C=C1)OCCCCCC(=O)NCCCCC[R2],19,0
1640,1651,NC(=O)COCCOCCN1CCN(CCCC=O)CC1,[R1]C(=O)CCCN1CCN(CC1)CCOCCOCC(=O)N[R2],17,0
2142,2163,OCCCCCCCCCCO,[R1]OCCCCCCCCCCO[R2],0,11
982,986,CCCCOCCCCOCCCCOCCCCCC=O,[R1]C(=O)CCCCCOCCCCOCCCCOCCCC[R2],20,0
1343,1347,CCCC1=CN(CCCC=O)N=N1,[R1]CCCC1=CN(N=N1)CCCC(=O)[R2],0,9
775,779,NCCOCCOCCOCCNC(=O)C1=CC=CC=C1,[R1]NCCOCCOCCOCCNC(=O)C1=CC=C(C=C1)[R2],0,18
2013,2034,CCCCCCCCN1CCC1,[R1]CCCCCCCCN1CC(C1)[R2],0,10
713,715,CCNC(=O)CC=O,[R1]C(=O)CC(=O)NCC[R2],6,0
2721,2751,CCC1=CC=C(NC(C)=O)C=C1,[R1]CCC1=CC=C(C=C1)NC(=O)C[R2],0,8
1214,1218,CCCCCCCCCNC(=O)CCCNCCC,[R1]CCCNCCCC(=O)NCCCCCCCCC[R2],18,0
748,750,N=NC1=CC=C(OCC(=O)NCCCCN)C=C1,[R1]NCCCCNC(=O)COC1=CC=C(C=C1)/N=N/[R2],15,0
577,579,CCCCC1=CN(CCCO)N=N1,[R1]OCCCN1C=C(N=N1)CCCC[R2],10,0
958,962,CCC(=O)NCCCCNC(=O)CO,[R1]CCC(=O)NCCCCNC(=O)CO[R2],0,13
649,651,CCCNC1=CC=C(OCCOCCOCC)C=C1,[R1]CCCNC1=CC=C(C=C1)OCCOCCOCC[R2],0,16
1743,1754,O=CCCCCCCCCCCCCCO,[R1]C(=O)CCCCCCCCCCCCCO[R2],1,15
301,302,NCCCCCCCCCCCC=O,[R1]C(=O)CCCCCCCCCCCN[R2],12,0
2599,2627,CCCC(=O)NCCC#CC1=CC=CC=N1,[R1]C1=CC(=NC=C1)C#CCCNC(=O)CCC[R2],12,0
788,792,CCCCCNC(=O)CCCN1C=C(CCCC)N=N1,[R1]CCCCC1=CN(N=N1)CCCC(=O)NCCCCC[R2],17,0
1792,1803,CCCN1CCN(CCOCCOCCO)CC1,[R1]CCCN1CCN(CC1)CCOCCOCCO[R2],0,15
